theme;word;translation;example
Voyage;airport;aéroport;I am going to the airport.
Voyage;ticket;billet;I bought a train ticket.
Voyage;luggage;bagages;My luggage is heavy.
Travail;meeting;réunion;We have a meeting at 10 AM.
Travail;deadline;date limite;The deadline is tomorrow.
Travail;team;équipe;Our team is very motivated.
Nourriture;breakfast;petit-déjeuner;I eat breakfast every morning.
Nourriture;chicken;poulet;I would like chicken please.
Nourriture;water;eau;Can I have some water?
Conversation;reliable;fiable;She is a reliable person.
Conversation;appointment;rendez-vous;I have an appointment today.
Conversation;weather;météo;The weather is nice today.
